;Marka;Ocena;Płeć kupującego
439;Electrolux;1.0;M
440;Electrolux;2.5;M
441;Electrolux;2.5;M
442;Electrolux;2.5;K
443;Dyson;2.5;M
444;Dyson;2.0;M
445;Beko;2.0;M
446;Electrolux;2.0;M
447;Electrolux;5.0;M
448;Samsung;3.0;M
449;Electrolux;1.0;M
450;Electrolux;1.0;M
451;Samsung;2.0;M
452;Tefal;4.0;M
453;Electrolux;3.0;M
454;Beko;1.5;M
455;Electrolux;3.0;M
456;Electrolux;0.5;M
457;Dyson;1.0;K
458;Dyson;3.0;M
459;Samsung;5.0;K
460;Electrolux;2.0;M
461;Electrolux;2.0;M
462;Tefal;3.0;M
463;Tefal;1.5;M
464;Electrolux;2.0;M
465;Beko;3.5;M
466;Electrolux;2.0;M
467;Tefal;4.5;M
468;Beko;2.5;M
469;Beko;2.0;M
470;Electrolux;3.0;K
471;Dyson;3.0;M
472;Tefal;2.0;M
473;Tefal;1.5;K
474;Electrolux;4.0;M
475;Electrolux;2.5;K
476;Electrolux;1.0;M
477;Beko;4.0;M
478;Beko;2.5;M
479;Beko;1.0;M
480;Beko;1.0;M
481;Electrolux;2.0;M
482;Beko;3.0;M
483;Samsung;1.5;M
484;Beko;2.5;M
485;Beko;1.5;M
486;Dyson;3.5;M
487;Electrolux;2.0;M
488;Dyson;0.5;M
489;Beko;4.0;M
490;Dyson;1.0;M
491;Electrolux;2.5;M
492;Tefal;5.0;M
493;Dyson;4.0;M
494;Beko;2.5;M
495;Dyson;2.0;M
496;Samsung;2.0;M
497;Dyson;0.0;M
498;Beko;4.5;bd.
499;Electrolux;2.5;M
500;Electrolux;1.5;K
501;Beko;2.0;M
502;Beko;2.5;M
503;Electrolux;1.0;M
504;Beko;4.0;M
505;Tefal;2.5;K
506;Electrolux;2.5;M
507;Tefal;3.0;M
508;Electrolux;2.5;M
509;Beko;2.0;bd.
510;Tefal;2.0;M
511;Electrolux;2.5;M
512;Electrolux;4.5;K
513;Dyson;4.5;M
514;Electrolux;1.5;M
515;Dyson;2.5;M
516;Electrolux;3.0;M
517;Beko;3.5;bd.
518;Electrolux;2.0;bd.
519;Electrolux;3.5;M
520;Beko;2.5;M
521;Samsung;1.0;M
522;Dyson;3.0;M
523;Tefal;2.0;K
524;Samsung;1.0;K
525;Electrolux;2.0;M
526;Samsung;1.5;M
527;Electrolux;3.5;M
528;Dyson;3.0;M
529;Samsung;1.5;M
530;Electrolux;1.5;K
531;Beko;2.5;M
532;Beko;2.5;M
533;Electrolux;1.5;K
